AGPR ID,Land Description,Address,Suburb,State or Territory,Postcode,Latitude,Longitude
AGPR2247,Lot 1 on RP736114,271-279 Sheridan Street CAIRNS,CAIRNS,QLD,4870,-16.90960906,145.7612021
AGPR224,Lot 1 of Plan TP221179J,120 McArthurs Road SOUTH MORANG,SOUTH MORANG,VIC,3752,-37.61925,145.08154
AGPR223,Volume 35589 Folio 3,601 Back Tea Tree Road RICHMOND,RICHMOND,TAS,7025,-42.74258,147.33829
AGPR222,Volume 35589 Folio 1,601 Back Tea Tree Road RICHMOND,RICHMOND,TAS,7025,-42.74881,147.33557
AGPR221,Volume 197135 Folio 7,601 Back Tea Tree Road RICHMOND,RICHMOND,TAS,7025,-42.74564,147.33486
AGPR220,Volume 5929 Folio 216,32 Airport Road BROOKLYN PARK,BROOKLYN PARK,SA,5032,-34.93006,138.541998
AGPR219,Lot 2 on RP74062,362-388 Old Cleveland Road EAST BIRKENDALE,EAST BIRKENDALE,QLD,4159,-27.51172843,153.2020175
AGPR2189,Lot 136 on RP20228,270 Lloyd Street ENOGGERA,ENOGGERA,QLD,4051,-27.43393672,152.9635129
AGPR218,Lot 2 on RP14143,362-388 Old Cleveland Road EAST BIRKENDALE,EAST BIRKENDALE,QLD,4159,-27.51006908,153.2017032
AGPR217,Lot 1 on RP14143,362-388 Old Cleveland Road EAST BIRKENDALE,EAST BIRKENDALE,QLD,4159,-27.50807397,153.2010841
AGPR163,Block 11 Section 43 Division Yarralumla,71 State Circle PARKES,PARKES,ACT,2600,-35.30368,149.12288
AGPR1598,Lot 1 on BS813206,ROCKY ISLAND,ROCKY ISLAND,QLD,4895,-15.60692,145.335834
AGPR1579,Lot 183 on SP207572,19756 Draper Street PORTSMITH,PORTSMITH,QLD,4870,-16.93563511,145.7776157
AGPR1567,Lot 1 on RP735342,243-245 Sheridan Street CAIRNS,CAIRNS,QLD,4870,-16.91154138,145.7626214
AGPR1528,Lot 4 on SP211556,21A-33 Isley Street NORTH WARD,NORTH WARD,QLD,4810,-19.23961665,146.8025686
AGPR1527,Lot 3 on SP211556,21A-33 Isley Street NORTH WARD,NORTH WARD,QLD,4810,-19.2401942,146.8022271
AGPR1526,Lot 4 on RP738715,212 Endeavour Valley Road COOKTOWN,COOKTOWN,QLD,4895,-15.47242251,145.2203162
AGPR1463,Lot 55 on SP193147,8 Vickers Street EDMONTON,EDMONTON,QLD,4869,-17.00037038,145.7467801
AGPR1462,Lot 1 on RP189512,160 Wardoo Street ASHMORE,ASHMORE,QLD,4214,-27.97715322,153.390095
AGPR1447,Lot 133 on RP23324,1 Underhill Street ST LUCIA,ST LUCIA,QLD,4067,-27.49584764,153.0088169
AGPR1424,Lot 6 on RP179459,136-142 ANZAC Avenue HARRISTOWN,HARRISTOWN,QLD,4350,-27.56823637,151.9302547
AGPR1414,Lot 107 on RP706421,13 Brownlee Street WEBB,WEBB,QLD,4860,-17.5314555,146.0473838
AGPR1412,Lot 343 on RP145429,129 Petrie Terrace PETRIE TERRACE,PETRIE TERRACE,QLD,4000,-27.46462518,153.0154019
AGPR1400,Lot 12 on RP144619,119 Percy Street WARWICK,WARWICK,QLD,4370,-28.21776876,152.0266033
AGPR1393,Lot 11 on RP808672,41579 Nealdon Drive MEADOWBROOK,MEADOWBROOK,QLD,4131,-27.66641257,153.1371272
AGPR1392,Lot 28 on RP908709,41579 Concorde Place CABOOLTURE,CABOOLTURE,QLD,4510,-27.08121751,152.9785891
AGPR1388,Lot 173 on RP614437,11 Palm Drive GLADSTONE CENTRAL,GLADSTONE CENTRAL,QLD,4680,-23.843667,151.2422528
AGPR1381,Lot 108 on RP706421,11 Brownlee Street INNISFAIL,INNISFAIL,QLD,4860,-17.53127621,146.0474096
AGPR1374,Lot 2 on RP127288,10079 New England Highway CABARLAH,CABARLAH,QLD,4352,-27.44345222,151.9804384
AGPR1369,Lot 406 on RP718009,100 Bridge Road MACKAY,MACKAY,QLD,4740,-21.16203547,149.184442
AGPR007593,Lot 1 Plan DP91149 ,Goldfields Way Gidginbung,Gidginbung,NSW,,-34.327539,147.474442
AGPR007515,Block 4 Division of 80 District of Russell ,0 Russell Drive Drive RUSSELL,RUSSELL,ACT,2601,-35.294282,149.14617
AGPR007495,Volume 32500 Folio 2 ,39-41 Davey Street HOBART,HOBART,TAS,7000,-42.89,147.33
AGPR007494,Volume 32500 Folio 1 ,39-41 Davey Street HOBART,HOBART,TAS,7000,-42.88,147.33
